,MTech Sem-I (ICT-VLSI&ES),,SC404,Advanced Matrix Theory,3-0-0-3,General Elective (Maths),AM2,CEP-106,,EL526,VLSI System Design,3-0-2-4,VES Sp. Core,YA,CEP-108,,,,,,,,,IE407,Internet of Things,3-0-2-4,General Elective (Technical),VSP,CEP-204,,SC404,Advanced Matrix Theory,3-0-0-3,General Elective (Maths),AM2,CEP-106
,,,SC471,Algorithmic Graph Theory,3-0-2-4,General Elective (Maths),VS,CEP-206,,,,,,,,,,,,,,,,,,,,,,,SC471,Algorithmic Graph Theory,3-0-2-4,General Elective (Maths),VS,CEP-206
,,,IT503,Applied Probability and Statistics ,3-0-0-3,General Elective (Maths),AKT,LT-3,,,,,,,,,,,,,,,,,,,,,,,IT503,Applied Probability and Statistics ,3-0-0-3,General Elective (Maths),AKT,LT-3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MTech Sem-I (ICT-WCSP),,SC404,Advanced Matrix Theory,3-0-0-3,General Elective (Maths),AM2,CEP-106,,IT582,Foundations of Machine Learning ,3-0-2-4,WCSP General Elective (Technical),MVJ,CEP-205,,,,,,,,,,,,,,,,SC404,Advanced Matrix Theory,3-0-0-3,General Elective (Maths),AM2,CEP-106
,,,SC471,Algorithmic Graph Theory,3-0-2-4,General Elective (Maths),VS,CEP-206,,EL526,VLSI System Design,3-0-2-4,WCSP General Elective (Technical),YA,CEP-108,,,,,,,,,,,,,,,,SC471,Algorithmic Graph Theory,3-0-2-4,General Elective (Maths),VS,CEP-206
,,,IT503,Applied Probability and Statistics ,3-0-0-3,General Elective (Maths),AKT,LT-3,,,,,,,,,,,,,,,,,,,,,,,IT503,Applied Probability and Statistics ,3-0-0-3,General Elective (Maths),AKT,LT-3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MTech Sem-III (ICT-SS),,,,,,,,,,,,,,,,,,,,,,,IT586,Trustworthy AI – Theory and Practice,3-0-2-4,SS Elective III/IV,AKS,CEP-203,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MTech Sem-III (ICT-ML),,,,,,,,,,,,,,,,,,,,,,,IT586,Trustworthy AI – Theory and Practice,3-0-2-4,ML Elective III/IV,AKS,CEP-203,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
