Dhirubhai Ambani Institute of Information and Communication Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lecture Time-Table (Autumn '2024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Batch,,Monday,,,,,,,Tuesday,,,,,,,Wednesday,,,,,,,Thursday,,,,,,,Friday,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:00 - 8:50,,,Slot-5,,,,,,,Slot-8,,,,,,,Slot-6,,,,,,,Slot-7,,,,,,,Slot-3,,,,,
,,,,,,,,,,EL111,Basic Electronic Circuits (Sec B),3-0-2-4,Core,PK,LT-3,,PC110,Language and Literature (Sec B),3-0-0-3,Core,AM,LT-3,,SC107,Calculus (Sec B),3-1-0-4,Core,AM2,LT-2,,PC110,Language and Literature (Sec B),3-0-0-3,Core,AM,LT-3
,BTech Sem-I (MnC),,MC116,Digital Logic Design,1-0-2-2,Core,SR,CEP-104,,MC112,Computer Organization and Programming,3-0-0-3,Core,NJ,CEP-104,,PC110,Language and Literature (Sec B),3-0-0-3,Core,AM,LT-3,,MC123,Discrete Mathematics,3-1-0-4,Core,SB2,CEP-104,,PC110,Language and Literature (Sec B),3-0-0-3,Core,AM,LT-3
,BTech Sem-I (EVD),,ED112,Engineering Physics,3-0-2-4,Core,AR,CEP-103,,EL111,Basic Electronic Circuits (Sec B),3-0-2-4,Core,PK,LT-3,,PC110,Language and Literature (Sec B),3-0-0-3,Core,AM,LT-3,,,,,,,,,PC110,Language and Literature (Sec B),3-0-0-3,Core,AM,LT-3
,BTech Sem-III (ICT + CS),,HM216,"Science, Technology, and Society (Sec A)",3-0-0-3,Core,SJ,CEP-102,,,,,,,,,,,,,,,,IT216,Design and Analysis of Algorithms (Sec A),3-1-0-4,Core,PB,CEP-110,,,,,,,
,,,IT227,Computer Systems Programming (Sec B),3-0-2-4,Core,AKM,CEP-110,,,,,,,,,,,,,,,,IT216,Design and Analysis of Algorithms (Sec B),3-1-0-4,Core,RM,CEP-102,,,,,,,
,BTech Sem-III (MnC),,MC216,Probability and Random Processes,3-1-0-4,Core,SK,CEP-105,,MC212,Database Management Systems,3-0-2-4,Core,AKM,CEP-105,,,,,,,,,MC214,Operating Systems (along with IE411),3-0-2-4,Core,AMM,CEP-106,,,,,,,
,BTech Sem-III (EVD),,ED213,Signal Processing and Control Systems,3-0-2-4,Core,HP,CEP-107,,,,,,,,,ED214,Electronic Design Lab,1-1-4-4,Core,BM,CEP-104 ,,ED212,Solid State Devices,3-0-2-4,Core,PK,CEP-105,,ED214,Electronic Design Lab,1-1-4-4,Core,BM,CEP-104 
,BTech Sem-V (ICT + CS),,CT303,Digital Communication (Sec A),3-0-2-4,Core,AJ,LT-1,,IT314,Software Engineering (Sec A),3-0-2-4,Core,ST,CEP-110,,CT425,RF and Antenna Engineering,3-0-0-3,Technical Elective,DKG,CEP-108,,IE402,Optimization,3-0-2-4,ICT & Technical Elective,NKS,CEP-108,,CT425,RF and Antenna Engineering,3-0-0-3,Technical Elective,DKG,CEP-108
,,,IT314,Software Engineering (Sec B),3-0-2-4,Core,ST,LT-2,,CT303,Digital Communication (Sec B),3-0-2-4,Core,MK2,CEP-102,,IE417,Introduction to Embedded Artifical Intelligence,3-0-2-4,ICT & Technical Elective (RAS minor),TKM,CEP-106,,IE407,Internet of Things,3-0-2-4,ICT & Technical Elective & RAS elective,VSP,CEP-204,,IE417,Introduction to Embedded Artifical Intelligence,3-0-2-4,ICT & Technical Elective (RAS minor),TKM,CEP-106
,,,,,,,,,,,,,,,,,,,,,,,,IE406,Machine Learning,3-0-2-4,ICT & Technical Elective & RAS elective,PA,LT-1,,,,,,,
